Hashtags,Fecha,Texto,Usuario,Followers,Respuestas,Retweets,Likes,Citados,Vistas,Idioma
"['8M2023', 'CDMX']",2023-03-08 20:28:49+00:00,Afuera del Metro Revolución #8M2023 #CDMX https://t.co/UItBQB3K1g,avieu,95838,2,42,171,0,6561.0,es
"['8M', '8M2023']",2023-03-08 16:23:57+00:00,"Habló de la importancia de las mujeres en su gobierno 🦆, pero insistió en la importancia de reformar al Poder Judicial y a la UNAM. #8M #8M2023 https://t.co/z4B7lxaQ76",avieu,95838,60,98,425,16,36459.0,es
['8M2023'],2023-03-08 15:55:53+00:00,"La reja se puso porque son capaces de infiltrar a vándalos, entonces mejor vamos a cuidar al Palacio 🦆 #8M2023 

Link Facebook https://t.co/bPn1Z5YI2k

Link TikTok https://t.co/AzUk6U9fi0

Link YouTube https://t.co/PaFsOyWRil",avieu,95838,11,12,68,1,7798.0,es
"['8M23', '8M2023', 'DíaDeLaMujer']",2023-03-08 13:18:22+00:00,"Que hoy todas regresen a sus casas, que hoy ninguna sea acosada, que hoy ninguna sienta miedo, que hoy ninguna sea vendida, que hoy todas vivamos seguras, plenas y felices. ¡Hasta que se haga costumbre! #8M23 #8M2023 #DíaDeLaMujer 💚✌🏼💜",avieu,95837,10,65,420,2,8516.0,es
"['Marcha8M', 'DiaDeLaMujer']",2023-03-08 22:53:41+00:00,"Esta es la marcha feminista, pacífica y en búsqueda de justicia #Marcha8M #DiaDeLaMujer https://t.co/kBo56brRVd",avieu,95875,11,111,448,2,22462.0,es
"['DiaDeLaMujer', '8M']",2023-03-08 20:32:17+00:00,"Hoy es un buen día para recordar a las mujeres que han hecho historia, diciendo y haciendo las cosas como son, sin temor a las etiquetas y la persecución de la izquierda destructiva, que quiere aniquilar la esencia de la mujer.

#DiaDeLaMujer #8M https://t.co/MANgK39pKr",MariaFdaCabal,518454,131,202,501,14,26070.0,es
"['DiaDeLaMujer', '8M']",2023-03-08 18:26:09+00:00,"Feliz día de la mujer a todas las valientes que defienden la libertad y el orden. Que trabajan incansablemente por el sueño de un país, donde todos nuestros objetivos sean una realidad.

#DiaDeLaMujer 
#8M https://t.co/OfyJPDuKWz",MariaFdaCabal,518456,712,505,2933,35,95403.0,es
['DiaDeLaMujer'],2023-03-08 15:20:08+00:00,"El #DiaDeLaMujer destaca nuestras capacidades, pero también deja ver fanatismos. Hoy los invito a cuidar las iglesias católicas, amenazadas por una convocatoria en la que se invita a vandalizar templos para conmemorar la lucha feminista.

La libertad de culto es un derecho. https://t.co/zQyCwfRL9U",MariaFdaCabal,518460,182,245,676,18,21722.0,es
"['8M', 'DiaInternacionalDeLaMujer']",2023-03-08 19:26:06+00:00,"La policía no me cuida, me cuida mi perrito 💜
#8M #DiaInternacionalDeLaMujer https://t.co/7vmPcBn1vi",DiloConPerritos,252027,88,3592,34523,176,969502.0,es
['8M2023'],2023-03-08 06:18:44+00:00,"F E L I Z 8M 💚💜
Yo protesto porqué cuando me pasó a mi, sentí culpa.
Porqué cuándo tuve qué gritar no pude hacerlo.
#8M2023 https://t.co/gWSTUMboRl",NaraiVr,244,68,4666,16400,202,800660.0,es
['8Marzo'],2023-03-08 07:53:17+00:00,"Hoy homenajeamos el día de la mujer trabajadora tocando guardia.
Y me gustaría recordar que hoy no es un dia de fiesta, sino una fecha escrita con sangre.
Que el #8Marzo se ha intentado, como todos los movimientos de lucha, cubrir con purpurina morada y camisetas con logos.

1/5 https://t.co/wL14ekDYmT",Medicilio,98384,116,488,3600,11,255420.0,es
"['DiaInternacionalDeLaMujer', 'WomanPower', '8M2023']",2023-03-07 21:45:21+00:00,Canciones de .@keniaos que pueden ser utilizadas para este 8M 💜#DiaInternacionalDeLaMujer #WomanPower #8M2023 https://t.co/9SRyJoF3dl,lababyquiere,12380,34,657,3478,19,145511.0,es
['8DeMarzo'],2023-03-08 22:31:23+00:00,"Este video me puso la piel chinita 
#8DeMarzo https://t.co/lBVLcKaHZf",lababyquiere,12416,3,57,480,2,15140.0,es
"['8mars2023', 'DiaInternacionalDeLaMujer']",2023-03-08 14:44:02+00:00,#8mars2023 MARCHEN POR LAS QUE LAS QUE LES ARREBATARON LA VOZ #DiaInternacionalDeLaMujer https://t.co/G1pPEwfwZW,PamelaRdzM,733,0,0,0,0,25.0,es
"['Marcha8M', 'DebanhiEscobar', 'Fatima', '8DeMarzo', '8M2023', '8march', 'DiaInternacionalDeLaMujer2023']",2023-03-08 22:47:02+00:00,#Marcha8M NO TE OLVIDÓ #DebanhiEscobar NO TE OLVIDO #Fatima 👧🏻🧸 NO OLVIDAMOS A LAS DESAPARECIDAS #8DeMarzo #8M2023 #8march #DiaInternacionalDeLaMujer2023 https://t.co/VsJ07O5q0s,PamelaRdzM,733,41,838,2942,10,168621.0,es
"['inclusiondown', 'DiaInternacionalDeLaMujer']",2023-03-09 16:05:27+00:00,"Gracias por tanto amor el día de ayer luchemos para que las siguientes generaciones no tengan que marchar para exigir algo que por derecho propio les corresponde.
Que todos los días sean día de la mujer
Les manda Dani muchos saludos
#inclusiondown  #DiaInternacionalDeLaMujer https://t.co/Odvj2mfq1a",vidacondaniela,263,0,0,5,0,111.0,es
