Hashtags,Fecha,Texto,Usuario,Followers,Respuestas,Retweets,Likes,Citados,Vistas,Idioma
"['Fuedicho', '8demarzo', 'DiadelaMujer']",2023-03-08 17:01:05+00:00,"""La vida no es fácil para nadie; pero hay que tener perseverancia y, sobre todo, confianza en uno mismo. Es necesario creer que se está dotado para alguna cosa y que hay que alcanzarla, cueste lo que cueste"".
Marie Curie
#Fuedicho #8demarzo #DiadelaMujer https://t.co/L5NciX54Pi",fuedicho,803359,14,1067,3349,30,187430.0,es
"['Fuedicho', '8deMarzo', 'DiadelaMujer']",2023-03-08 16:02:27+00:00,"""Quien es feliz hará felices a los demás también"".
Ana Frank
#Fuedicho #8deMarzo #DiadelaMujer https://t.co/IGMOSiAfSQ",fuedicho,803360,1,226,977,4,28234.0,es
"['Fuedicho', '8deMarzo', 'DiadelaMujer']",2023-03-08 15:01:42+00:00,"""Cualquiera que sea la libertad por la que luchamos, debe ser una libertad basada en la igualdad"".
Judith Butler
#Fuedicho #8deMarzo #DiadelaMujer https://t.co/AA68b9lVzO",fuedicho,803362,6,111,310,3,23309.0,es
"['Fuedicho', '8deMarzo', 'DiadelaMujer']",2023-03-08 14:03:22+00:00,"“Nada te turbe, nada te espante, todo se pasa, Dios no se muda; la paciencia todo lo alcanza; quien a Dios tiene nada le falta: Sólo Dios basta”.
Santa Teresa de Jesús
#Fuedicho 
#8deMarzo #DiadelaMujer https://t.co/UIcWWNYnDL",fuedicho,803363,3,287,1210,4,47907.0,es
"['Fuedicho', '8deMarzo', 'DiaDeLaMujer']",2023-03-08 13:00:41+00:00,"""El nivel de civilización al que han llegado diversas sociedades humanas está en proporción a la independencia de que gozan las mujeres”.
Flora Tristán
#Fuedicho #8deMarzo #DiaDeLaMujer https://t.co/nW5oOQgJqQ",fuedicho,803362,2,101,293,2,20096.0,es
"['Fuedicho', '8deMarzo', 'DiadelaMujer']",2023-03-08 11:00:51+00:00,"""El que influye en el pensamiento de su tiempo, influye en todos los momentos que le siguen. Deja su opinión para la eternidad"".
Hipatia de Alejandria
#Fuedicho #8deMarzo #DiadelaMujer https://t.co/A5Y7iVWfl4",fuedicho,803366,2,152,493,3,29653.0,es
"['Fuedicho', '8deMarzo', 'DiadelaMujer']",2023-03-08 10:01:21+00:00,"""Una mujer debe ser dos cosas quien ella quiera y lo que ella quiera"".
Coco Chanel
#Fuedicho #8deMarzo #DiadelaMujer https://t.co/LcIytULsd6",fuedicho,803366,16,1061,4035,35,210279.0,es
"['Fuedicho', '8deMarzo', 'DiadelaMujer']",2023-03-08 09:00:54+00:00,"""No hace falta ser anti-hombre para ser pro-mujer"".
Jane Galvin Lewis
#Fuedicho #8deMarzo #DiadelaMujer https://t.co/mWPvRheEaN",fuedicho,803367,12,574,2050,16,106360.0,es
"['Fuedicho', '8demarzo', 'DiaDeLaMujer']",2023-03-08 07:00:41+00:00,"“Puede que sea el gallo el que canta, pero es la gallina la que pone los huevos”. 
Margaret Thatcher
#Fuedicho #8demarzo #DiaDeLaMujer https://t.co/Q5snSx1pdb",fuedicho,803366,47,998,4652,56,236864.0,es
"['Fuedicho', '8deMarzo', 'DiadelaMujer']",2023-03-08 06:00:39+00:00,"“Con cólera nada conviene más que el silencio”.
Safo de Lesbos
#Fuedicho #8deMarzo #DiadelaMujer https://t.co/ZJtvbgCNUd",fuedicho,803365,2,108,428,0,22351.0,es
