Hashtags,Fecha,Texto,Usuario,Followers,Respuestas,Retweets,Likes,Citados,Vistas,Idioma
['8DeMarzo'],2023-03-08 22:25:09+00:00,"#8DeMarzo | Comparte con nosotros tus fotos, vídeos y experiencia desde la marcha con motivo del Día Internacional de la Mujer. 💜 https://t.co/23RlIoPL2S",AristeguiOnline,9473976,13,14,63,0,16915.0,es
['8DeMarzo'],2023-03-08 22:21:35+00:00,"El metro se convirtió en un prólogo de la marcha por el #8DeMarzo: Porras, pañuelos verdes y exigencias | Video
https://t.co/pKhFCsZYWc",AristeguiOnline,9473978,1,10,61,1,13344.0,es
['8DeMarzo'],2023-03-08 21:10:09+00:00,"Mexicanas que nos inspiran este #8DeMarzo

https://t.co/e3QOzQjimY",AristeguiOnline,9473984,5,11,45,1,16602.0,es
['8DeMarzo'],2023-03-08 20:45:10+00:00,"#8DeMarzo | Macron propone incluir aborto en Constitución francesa

https://t.co/85vMewcoSh",AristeguiOnline,9473988,2,6,59,3,18538.0,es
['8DeMarzo'],2023-03-08 20:30:15+00:00,"4 lecturas para conmemorar el #8DeMarzo

https://t.co/367s0LSfgt",AristeguiOnline,9473987,0,4,31,1,17665.0,es
['8DeMarzo'],2023-03-08 20:20:10+00:00,"#8DeMarzo | La exclusión laboral de las mujeres en México

https://t.co/AqW4TaGN8K",AristeguiOnline,9473988,4,11,35,0,16763.0,es
['8DeMarzo'],2023-03-08 19:55:09+00:00,"#8DeMarzo | Exdiputado vende playeras provida y contra el feminismo

https://t.co/UVDoZl8SOV",AristeguiOnline,9473989,146,61,518,28,81798.0,es
['8DeMarzo'],2023-03-08 19:30:12+00:00,"#8DeMarzo | 3 de cada 10 mujeres en México padecen ciberacoso: ONU

https://t.co/zuFLWlw0bZ",AristeguiOnline,9473989,1,12,18,0,11808.0,es
['8DeMarzo'],2023-03-08 19:00:29+00:00,"#8DeMarzo | Dos de cada tres mujeres se sienten inseguras en México

https://t.co/8zvl3G7fhS",AristeguiOnline,9473989,4,12,29,2,11326.0,es
['8DeMarzo'],2023-03-08 18:30:13+00:00,"#8DeMarzo | En un mundo cada vez más digitalizado en el que la tecnología ha tomado un rol fundamental en la vida de las personas, una nueva forma de violencia hacia las mujeres aparece con más frecuencia: la violencia digital. 

https://t.co/WfuhxDV7g2",AristeguiOnline,9473989,1,10,47,0,12895.0,es
