Hashtags,Fecha,Texto,Usuario,Followers,Respuestas,Retweets,Likes,Citados,Vistas,Idioma
"['Edoméx', '8DeMarzo', 'DiaInternacionalDeLaMujer']",2023-03-09 02:01:33+00:00,"✨En el #Edoméx el compromiso con las mujeres se refleja en acciones. 

#8DeMarzo #DiaInternacionalDeLaMujer https://t.co/mH4femBaeT",SeMujeresEdomex,18361,0,9,18,1,749.0,es
"['8DeMarzo', 'DiaInternacionalDeLaMujer']",2023-03-09 01:00:00+00:00,"¡La lucha por la igualdad empieza en los rincones más privados del hogar!

Una manera de sumarse a este #8DeMarzo, es redistribuyendo de forma equitativa las labores de cuidado y extendiéndola a los otros 364 días. 
#DiaInternacionalDeLaMujer https://t.co/S0gxFX3yFn",SeMujeresEdomex,18361,0,11,23,0,696.0,es
"['8DeMarzo', 'DíaInternacionalDeLaMujer']",2023-03-09 00:00:01+00:00,"""Cuando las mujeres de todos los continentes... se unen en este día, pueden contemplar una tradición de no menos de noventa años de lucha en pro de la igualdad, la justicia, la paz y el desarrollo"".
- @ONUMujeresMX 
#8DeMarzo #DíaInternacionalDeLaMujer https://t.co/4pR5oilbiJ",SeMujeresEdomex,18361,0,7,21,0,431.0,es
"['8DeMarzo', 'DiaInternacionalDeLaMujer']",2023-03-08 22:00:00+00:00,"El origen del #8DeMarzo son las protestas de las mujeres por sus derechos. 
Hoy no se festeja; se conmemora, recuerda y reconoce a las que dieron su vida para que las mujeres hoy sigan luchando para tener voz propia. 
#DiaInternacionalDeLaMujer https://t.co/xE0ixQ4ekZ",SeMujeresEdomex,18361,2,31,48,2,1405.0,es
"['8DeMarzo', 'DiaInternacionalDeLaMujer']",2023-03-08 21:00:00+00:00,"Una forma de conmemorar este #8DeMarzo es impulsando la igualdad desde nuestro espacios. 
¡Súmate!
#DiaInternacionalDeLaMujer https://t.co/ZkoxThV7gv",SeMujeresEdomex,18361,0,4,14,0,421.0,es
"['Edoméx', '8DeMarzo', 'DiaInternacionalDeLaMujer']",2023-03-08 18:52:29+00:00,"¡En el #Edoméx estamos comprometidos con las mujeres!
#8DeMarzo #DiaInternacionalDeLaMujer",SeMujeresEdomex,18361,0,15,25,1,661.0,es
"['DíaInternacionalDeLaMujer', 'LaPaz']",2023-03-08 16:49:52+00:00,"🟣 En el #DíaInternacionalDeLaMujer el Gobernador @alfredodelmazo realiza la entrega de la Construcción de Ciudad Mujeres #LaPaz, refrendando su compromiso con la protección de los derechos de las mujeres mexiquenses.",SeMujeresEdomex,18361,0,16,25,0,678.0,es
"['8DeMarzo', 'DíaInternacionalDeLaMujer']",2023-03-08 16:00:26+00:00,"💜🇲🇽| Conocer la historia mexicana en búsqueda de derechos, es dar voz a las pioneras que lucharon por la igualdad de género. 

#8DeMarzo #DíaInternacionalDeLaMujer https://t.co/DhRVFaEGJK",SeMujeresEdomex,18361,0,31,66,2,2303.0,es
"['8DeMarzo', 'DíaInternacionalDeLaMujer']",2023-03-08 15:15:33+00:00,"El #8DeMarzo no es un día para felicitar a las mujeres, es un día para recordar a las que lucharon por sus derechos, a las que ya no están y reconocer a las que luchan ahora. 

#DíaInternacionalDeLaMujer https://t.co/NSrWccyiy1",SeMujeresEdomex,18361,1,52,96,6,3065.0,es
"['8M2023', 'SeMujeresEdoméx', 'DíaInternacionalDeLaMujer']",2023-03-08 13:00:02+00:00,"Este #8M2023, desde la #SeMujeresEdoméx nos unimos al llamado para construir un mundo digital más seguro, inclusivo y equitativo, hasta cerrar la brecha digital de género y crear un futuro mejor para las niñas, adolescentes y mujeres.  
#DíaInternacionalDeLaMujer https://t.co/DPE15tYo60",SeMujeresEdomex,18362,1,38,66,5,3935.0,es
"['8DeMarzo', 'CiudadMujeres', 'LaPaz', 'DDHH', 'SeMujeresEdoméx']",2023-03-08 20:00:02+00:00,"¡En el @Edoméx los derechos de las mujeres van al centro!
Este #8DeMarzo se inauguró #CiudadMujeres #LaPaz, un espacio que facilitará el acceso a servicios en materia preventiva, de seguridad y de justicia, con perspectiva de género y #DDHH.
#SeMujeresEdoméx https://t.co/J5n0LL9Czp",SeMujeresEdomex,18375,5,96,135,8,5720.0,es
['8DeMarzo'],2023-03-08 17:13:26+00:00,"Proteger los derechos de las mujeres es clave para construir un mundo más justo e igualitario; por ello, el Gobernador @alfredodelmazo refrenda su compromiso a través de la suma de esfuerzos y espacios para que todas puedan desarrollarse en igualdad de oportunidades. #8DeMarzo https://t.co/fGy14nrGEW",SeMujeresEdomex,18375,6850,16411,23828,8805,268000.0,es
['8DeMarzo'],2023-03-08 17:55:11+00:00,"Queridas tuiteras.🥳

¡Las mujeres somos todo corazón!♥️ 

¡FELIZ DÍA DE LA MUJER! 🎉🎈 

#8DeMarzo https://t.co/33Jx9seJkR",_ryo_hermoso,67594,11,20,117,1,4233.0,es
"['8DeMarzo', 'MiApoyoALaMinistraNormaPiña']",2023-03-09 22:18:09+00:00,"Mi apoyo total y absoluto para la presidenta de la @SCJN Norma Piña. 🥳

La tocan a ella y nos tocan a todas.

Si algo le pasara sabríamos de donde viene.☝️

#8DeMarzo 
#MiApoyoALaMinistraNormaPiña https://t.co/gpAGnVRzbV",_ryo_hermoso,67599,58,630,1698,15,22695.0,es
['8DeMarzo'],2023-03-09 18:22:50+00:00,"Así trata López con gas lacrimógeno a las mujeres a quienes debería proteger. 🤬

@kenialopezr 

#8DeMarzo 👇",_ryo_hermoso,67599,7,52,120,0,3478.0,es
"['NiUnaMas', '8DeMarzo']",2023-03-09 17:23:54+00:00,"¡¡SIMPLEMENTE IMPRESIONANTE!!🥳

#NiUnaMas 
#8DeMarzo 

La fuerza de las mujeres pidiendo una demanda legítima : PROTECCIÓN Y JUSTICIA ! 👇 https://t.co/QpPRjmY2bH",_ryo_hermoso,67599,13,118,356,2,7804.0,es
['8DeMarzo'],2023-03-09 17:18:35+00:00,"LÓPEZ MÁS SOLO QUE NUNCA!🥳

Primero imagen, en medio del palacio con mínima afluencia se reúne con mujeres incondicionales.

Segunda imagen, las mujeres del pueblo que ya no lo quiere, y que inconforme le reclama por sus desaparecidas. 💜

#8DeMarzo https://t.co/9FSi8oSduN",_ryo_hermoso,67599,109,1512,3406,29,60619.0,es
['8DeMarzo'],2023-03-09 06:04:34+00:00,"Ministra Presidente de la @SCJN Norma Piña.

¡¡GRACIAS !!💐

POR DEVOLVERNOS LA CONFIANZA EN EL PODER JUDICIAL! 👏👏

Por esa sencillez de salir a convivir con las mujeres hoy #8DeMarzo ese gesto nos dice tanto, nos sentimos tan apoyadas. 

Me emocionó mucho ver este video ! https://t.co/EBjJR3TnAx",_ryo_hermoso,67599,21,163,660,3,10415.0,es
"['8DeMarzo', 'NormaPiña']",2023-03-09 05:19:02+00:00,"LA @SCJN ES AUTÓNOMA, UNA MUJER LA PRESIDE!! 🥳

Que hermosa mujer es Norma Piña !💐👏👏👏

Definitivamente YA SE GANÓ MI CORAZÓN!! ♥️ 

Que linda conviviendo con las mujeres de la marcha !!👏

#8DeMarzo 
#NormaPiña https://t.co/jXU31wzz7N",_ryo_hermoso,67599,212,1480,4461,51,70356.0,es
['8DeMarzo'],2023-03-09 04:12:48+00:00,"¡¡OH MY GOD !! 🙈

¡OVIDIO NO ES OVIDIO !🥳

#8DeMarzo 

Pero Estados Unidos está pidiendo la extradición de Ovidio Guzmán! 😅 https://t.co/7cnN8F9oIE",_ryo_hermoso,67599,24,129,359,0,27061.0,es
['8DeMarzo'],2023-03-09 03:22:20+00:00,"López no seas así🙈

#8DeMarzo 

No la trates como si fuera una mask otita. 🥳 https://t.co/JM2ehpqR7V",_ryo_hermoso,67599,75,110,355,5,9917.0,es
['8DeMarzo'],2023-03-09 03:05:20+00:00,"JAJAJAJAJA JAJAJAJAJA ASÍ HAY QUE TRAER AL VIEJILLO KKS. 🥳

#8DeMarzo 

A puro golpe de marchas pa que se eduque. 😝🤣🤣🤣👇🤣🤣🤣🤣🤣 https://t.co/DduK2mfNgo",_ryo_hermoso,67599,46,397,1152,17,22530.0,es
['8DeMarzo'],2023-03-09 01:53:03+00:00,"Que chulada de Presidenta tenemos en la @SCJN ! 👏

Gracias por tan bello mensaje, por su apoyo ! 

Como no quererla y apoyarla siendo tan solidaria con las mujeres. 💓

Me pongo de pie, SEÑORONA !👏👏

En cambio López nos pone vallas. 🙄

#8DeMarzo https://t.co/V6kRFcvHyh",_ryo_hermoso,67600,160,1744,5341,32,63723.0,es
"['8DeMarzo', 'Cobarde']",2023-03-08 21:57:21+00:00,"Ay carajo cuantos filtros de protección! 😲

De ese tamaño debe ser el miedo de López a las mujeres.🥳

#8DeMarzo 

Preguntóme yo, será misógino o solo #Cobarde o las dos cosas ? 🤔

Ustedes que piensan ? 👇🙋‍♀️ https://t.co/98ZcMCS0Kx",_ryo_hermoso,67601,789,1299,3894,103,145082.0,es
['8DeMarzo'],2023-03-08 18:27:22+00:00,"López dice que las mujeres quieren quemar el palacio y las obras de arte!🙈

“MAGINENSE”🤪

#8DeMarzo 

De plano este cuate es un reverendo hijo de la guayaba, además de miedoso.🙄👇 https://t.co/7FzkKnmidt",_ryo_hermoso,67600,332,465,1594,43,52772.0,es
"['8M', 'ProtagonistasPorLaIgualdad', 'DiaInternacionalDeLaMujer']",2023-03-08 19:01:59+00:00,"🎗Hoy conmemoramos el Día Internacional de la Mujer, recordando la valentía y determinación de las mujeres que lucharon por la equidad de género y por el reconocimiento y ejercicio efectivo de sus derechos. 💪👩👩🏿👩🏻
#8M #ProtagonistasPorLaIgualdad #DiaInternacionalDeLaMujer https://t.co/kcE0nCCg9h",MineduPeru,668603,28,4,17,1,6616.0,es
"['DiaInternacionalDeLaMujer', '8M']",2023-03-08 15:24:15+00:00,"📌 Saludo del señor ministro de Educación, 👤Oscar Becerra Tresierra, por el #DiaInternacionalDeLaMujer. Asimismo, pide disculpas por sus frases desafortunadas y se ratifica en la defensa de los derechos humanos de la niñez.🧒👧
#8M
📹 Ver aquí 👇
https://t.co/ONCG26reTn",MineduPeru,668603,384,12,42,91,97833.0,es
"['VamosAlCole', 'DíaInternacionalDeLaMujer', '8M']",2023-03-08 13:30:20+00:00,#VamosAlCole | Que este #DíaInternacionalDeLaMujer sea una oportunidad para reflexionar sobre las prácticas a tener en cuenta para lograr escuelas más igualitarias. #8M https://t.co/BwNqCva8Nd,MineduPeru,668604,16,4,13,4,8053.0,es
"['ProtagonistasPorLaIgualdad', 'DíaInternacionalDeLaMujer', '8M']",2023-03-08 13:01:30+00:00,"📌Hoy reconocemos a las #ProtagonistasPorLaIgualdad, mujeres👩🙎‍♀️👧 que día a día lideran los cambios que necesita nuestro país para que todas y todos vivan en igualdad, libres de violencia y discriminación.
#DíaInternacionalDeLaMujer #8M https://t.co/NPOC5zoBS6",MineduPeru,668604,51,5,32,4,10886.0,es
['MujeresEnLaLíneaDeDefensa'],2023-03-09 16:10:15+00:00,"👩‍✈️ El “Día de la Mujer Militar” en el Perú 🇵🇪 es un merecido reconocimiento a las mujeres de nuestras Fuerzas Armadas. Ustedes son un ejemplo a seguir para futuras generaciones de mujeres que deseen servir a su nación.
#MujeresEnLaLíneaDeDefensa https://t.co/BAbbN6uUZM",MineduPeru,668687,11,11,40,3,5679.0,es
['8M2023'],2023-03-09 00:28:46+00:00,"Una manifestación magnífica. Gracias a todas por este día de reivindicación feminista,y sobre todo por el trabajo y la conciencia  de todos los días. #8M2023 ✊🏽💜 https://t.co/vkbRqrIYJj",VickyRosell,135636,335,623,2170,63,94999.0,es
['8M2023'],2023-03-08 11:10:15+00:00,"Aquí estamos, con un montón de jóvenes y de luchadoras por la igualdad. #8M2023 ✊🏽💜",VickyRosell,135638,5,86,221,0,5593.0,es
['8M2023'],2023-03-08 07:19:08+00:00,Aquí empezamos #8M2023 👇🏾,VickyRosell,135640,5,76,204,2,11493.0,es
"['8M2023', 'Todas']",2023-03-08 07:11:06+00:00,"#8M2023 cansadas de las mil caras de la desigualdad y la violencia machista. Pero siempre mirando por #Todas : por las que nos precedieron, por las que hoy son red que salva vidas, y por el futuro de nuestras hijas. El feminismo da raíces y alas. Otras esperan que resistas. ✊🏽💜 https://t.co/nXCq6CFLDE",VickyRosell,135640,76,547,1383,13,36581.0,es
"['DiaInternacionalDeLaMujer', '8M2023']",2023-03-08 19:03:00+00:00,"Londres, Bucarest, Bruselas, Touluse... Estas son algunas de las imágenes que nos deja el #DiaInternacionalDeLaMujer en algunas ciudades europeas.

#8M2023 

https://t.co/RjwNShbSZW https://t.co/LQRAeM1pbR",rtve,1278218,0,2,7,0,3470.0,es
